,,날짜,세종
0,0,2021-01-01,42
1,1,2021-01-02,43
2,2,2021-01-03,47
3,3,2021-01-04,51
4,4,2021-01-05,36
5,5,2021-01-06,29
6,6,2021-01-07,29
7,7,2021-01-08,25
8,8,2021-01-09,31
9,9,2021-01-10,37
10,10,2021-01-11,54
11,11,2021-01-12,61
12,12,2021-01-13,81
13,13,2021-01-14,113
14,14,2021-01-15,80
15,15,2021-01-16,74
16,16,2021-01-17,19
17,17,2021-01-18,37
18,18,2021-01-19,33
19,19,2021-01-20,49
20,20,2021-01-21,65
21,21,2021-01-22,52
22,22,2021-01-23,26
23,23,2021-01-24,19
24,24,2021-01-25,25
25,25,2021-01-26,29
26,26,2021-01-27,45
27,27,2021-01-28,38
28,28,2021-01-29,29
29,29,2021-01-30,56
30,30,2021-01-31,57
