,date,region,confirmed,death,released
0,20200217,서울,14,0,3
1,20200217,부산,0,0,0
2,20200217,대구,0,0,0
3,20200217,인천,1,0,1
4,20200217,광주,2,0,0
5,20200217,대전,0,0,0
6,20200217,울산,0,0,0
7,20200217,세종,0,0,0
8,20200217,경기,11,0,4
9,20200217,강원,0,0,0
10,20200217,충북,0,0,0
11,20200217,충남,0,0,0
12,20200217,전북,1,0,1
13,20200217,전남,1,0,1
14,20200217,경북,0,0,0
15,20200217,경남,0,0,0
16,20200217,제주,0,0,0
17,20200218,서울,14,0,3
18,20200218,부산,0,0,0
19,20200218,대구,1,0,0
20,20200218,인천,1,0,1
21,20200218,광주,2,0,0
22,20200218,대전,0,0,0
23,20200218,울산,0,0,0
24,20200218,세종,0,0,0
25,20200218,경기,11,0,6
26,20200218,강원,0,0,0
27,20200218,충북,0,0,0
28,20200218,충남,0,0,0
29,20200218,전북,1,0,1
30,20200218,전남,1,0,1
31,20200218,경북,0,0,0
32,20200218,경남,0,0,0
33,20200218,제주,0,0,0
34,20200219,서울,15,0,5
35,20200219,부산,0,0,0
36,20200219,대구,16,0,0
37,20200219,인천,1,0,1
38,20200219,광주,2,0,2
39,20200219,대전,0,0,0
40,20200219,울산,0,0,0
41,20200219,세종,0,0,0
42,20200219,경기,12,0,6
43,20200219,강원,0,0,0
44,20200219,충북,0,0,0
45,20200219,충남,0,0,0
46,20200219,전북,1,0,1
47,20200219,전남,1,0,1
48,20200219,경북,3,0,0
49,20200219,경남,0,0,0
50,20200219,제주,0,0,0
51,20200220,서울,22,0,5
52,20200220,부산,8,0,0
53,20200220,대구,30,0,0
54,20200220,인천,2,0,1
55,20200220,광주,3,0,2
56,20200220,대전,0,0,0
57,20200220,울산,0,0,0
58,20200220,세종,0,0,0
59,20200220,경기,12,0,6
60,20200220,강원,1,0,0
61,20200220,충북,0,0,0
62,20200220,충남,0,0,0
63,20200220,전북,1,0,1
64,20200220,전남,1,0,1
65,20200220,경북,25,1,0
66,20200220,경남,3,0,0
67,20200220,제주,0,0,0
68,20200221,서울,27,0,6
69,20200221,부산,8,0,0
70,20200221,대구,110,0,0
71,20200221,인천,2,0,1
72,20200221,광주,3,0,2
73,20200221,대전,0,0,0
74,20200221,울산,0,0,0
75,20200221,세종,0,0,0
76,20200221,경기,14,0,6
77,20200221,강원,1,0,0
78,20200221,충북,1,0,0
79,20200221,충남,1,0,0
80,20200221,전북,2,0,1
81,20200221,전남,1,0,1
82,20200221,경북,28,1,0
83,20200221,경남,7,0,0
84,20200221,제주,0,0,0
85,20200222,서울,30,0,6
86,20200222,부산,11,0,0
87,20200222,대구,193,1,0
88,20200222,인천,2,0,1
89,20200222,광주,6,0,2
90,20200222,대전,2,0,0
91,20200222,울산,1,0,0
92,20200222,세종,1,0,0
93,20200222,경기,20,0,7
94,20200222,강원,6,0,0
95,20200222,충북,3,0,0
96,20200222,충남,1,0,0
97,20200222,전북,3,0,1
98,20200222,전남,1,0,1
99,20200222,경북,145,1,0
100,20200222,경남,7,0,0
101,20200222,제주,1,0,0
102,20200223,서울,31,0,6
103,20200223,부산,19,0,0
104,20200223,대구,310,2,0
105,20200223,인천,2,0,1
106,20200223,광주,8,0,2
107,20200223,대전,3,0,0
108,20200223,울산,1,0,0
109,20200223,세종,1,0,0
110,20200223,경기,24,0,7
111,20200223,강원,6,0,0
112,20200223,충북,3,0,0
113,20200223,충남,1,0,0
114,20200223,전북,3,0,1
115,20200223,전남,1,0,1
116,20200223,경북,170,3,0
117,20200223,경남,17,0,0
118,20200223,제주,2,0,0
119,20200224,서울,35,0,8
120,20200224,부산,34,0,0
121,20200224,대구,483,2,0
122,20200224,인천,2,0,1
123,20200224,광주,9,0,2
124,20200224,대전,3,0,0
125,20200224,울산,2,0,0
126,20200224,세종,1,0,0
127,20200224,경기,35,0,9
128,20200224,강원,6,0,0
129,20200224,충북,3,0,0
130,20200224,충남,1,0,0
131,20200224,전북,3,0,1
132,20200224,전남,1,0,1
133,20200224,경북,193,5,0
134,20200224,경남,20,0,0
135,20200224,제주,2,0,0
136,20200225,서울,41,0,8
137,20200225,부산,42,0,0
138,20200225,대구,543,4,0
139,20200225,인천,2,0,1
140,20200225,광주,9,0,2
141,20200225,대전,3,0,0
142,20200225,울산,3,0,0
143,20200225,세종,1,0,0
144,20200225,경기,42,0,9
145,20200225,강원,6,0,0
146,20200225,충북,5,0,0
147,20200225,충남,2,0,0
148,20200225,전북,3,0,1
149,20200225,전남,1,0,1
150,20200225,경북,249,6,0
151,20200225,경남,23,0,0
152,20200225,제주,2,0,0
153,20200226,서울,49,0,8
154,20200226,부산,58,0,0
155,20200226,대구,710,5,1
156,20200226,인천,3,0,1
157,20200226,광주,9,0,2
158,20200226,대전,5,0,0
159,20200226,울산,4,0,0
160,20200226,세종,1,0,0
161,20200226,경기,51,1,9
162,20200226,강원,6,0,0
163,20200226,충북,5,0,0
164,20200226,충남,3,0,0
165,20200226,전북,3,0,1
166,20200226,전남,1,0,1
167,20200226,경북,317,6,1
168,20200226,경남,34,0,0
169,20200226,제주,2,0,0
170,20200227,서울,56,0,9
171,20200227,부산,61,0,0
172,20200227,대구,1132,6,1
173,20200227,인천,3,0,1
174,20200227,광주,9,0,2
175,20200227,대전,9,0,0
176,20200227,울산,11,0,0
177,20200227,세종,1,0,0
178,20200227,경기,62,1,9
179,20200227,강원,6,0,0
180,20200227,충북,8,0,0
181,20200227,충남,12,0,0
182,20200227,전북,5,0,1
183,20200227,전남,1,0,1
184,20200227,경북,345,6,2
185,20200227,경남,43,0,0
186,20200227,제주,2,0,0
187,20200228,서울,62,0,9
188,20200228,부산,65,0,0
189,20200228,대구,1580,6,2
190,20200228,인천,4,0,1
191,20200228,광주,9,0,2
192,20200228,대전,13,0,0
193,20200228,울산,14,0,0
194,20200228,세종,1,0,0
195,20200228,경기,72,1,9
196,20200228,강원,7,0,0
197,20200228,충북,9,0,0
198,20200228,충남,35,0,0
199,20200228,전북,5,0,1
200,20200228,전남,1,0,1
201,20200228,경북,409,6,2
202,20200228,경남,49,0,0
203,20200228,제주,2,0,0
204,20200229,서울,77,0,11
205,20200229,부산,80,0,0
206,20200229,대구,2236,10,2
207,20200229,인천,6,0,1
208,20200229,광주,9,0,2
209,20200229,대전,13,0,0
210,20200229,울산,17,0,0
211,20200229,세종,1,0,0
212,20200229,경기,82,1,9
213,20200229,강원,7,0,0
214,20200229,충북,10,0,0
215,20200229,충남,55,0,0
216,20200229,전북,5,0,1
217,20200229,전남,3,0,1
218,20200229,경북,488,6,2
219,20200229,경남,59,0,0
220,20200229,제주,2,0,0
221,20200301,서울,87,0,13
222,20200301,부산,83,0,0
223,20200301,대구,2705,11,4
224,20200301,인천,6,0,1
225,20200301,광주,9,0,2
226,20200301,대전,13,0,0
227,20200301,울산,20,0,0
228,20200301,세종,1,0,0
229,20200301,경기,89,1,8
230,20200301,강원,15,0,0
231,20200301,충북,11,0,0
232,20200301,충남,68,0,0
233,20200301,전북,6,0,1
234,20200301,전남,3,0,1
235,20200301,경북,555,6,0
236,20200301,경남,63,0,0
237,20200301,제주,2,0,0
238,20200302,서울,91,0,13
239,20200302,부산,88,0,0
240,20200302,대구,3081,15,4
241,20200302,인천,7,0,1
242,20200302,광주,9,0,2
243,20200302,대전,14,0,1
244,20200302,울산,20,0,0
245,20200302,세종,1,0,0
246,20200302,경기,92,1,8
247,20200302,강원,19,0,0
248,20200302,충북,11,0,0
249,20200302,충남,78,0,0
250,20200302,전북,6,0,1
251,20200302,전남,5,0,1
252,20200302,경북,624,6,0
253,20200302,경남,64,0,0
254,20200302,제주,2,0,0
255,20200303,서울,98,0,13
256,20200303,부산,90,0,1
257,20200303,대구,3601,21,6
258,20200303,인천,7,0,1
259,20200303,광주,11,0,2
260,20200303,대전,14,0,1
261,20200303,울산,20,0,0
262,20200303,세종,1,0,0
263,20200303,경기,94,1,8
264,20200303,강원,20,0,0
265,20200303,충북,11,0,0
266,20200303,충남,81,0,0
267,20200303,전북,7,0,1
268,20200303,전남,5,0,1
269,20200303,경북,685,6,0
270,20200303,경남,64,0,0
271,20200303,제주,3,0,0
272,20200304,서울,99,0,13
273,20200304,부산,93,0,1
274,20200304,대구,4006,25,6
275,20200304,인천,9,0,1
276,20200304,광주,13,0,2
277,20200304,대전,15,0,0
278,20200304,울산,23,0,0
279,20200304,세종,1,0,0
280,20200304,경기,101,1,8
281,20200304,강원,21,0,0
282,20200304,충북,11,0,0
283,20200304,충남,82,0,0
284,20200304,전북,7,0,1
285,20200304,전남,5,0,0
286,20200304,경북,774,6,0
287,20200304,경남,65,0,3
288,20200304,제주,3,0,0
289,20200305,서울,103,0,25
290,20200305,부산,92,0,2
291,20200305,대구,4327,28,14
292,20200305,인천,9,0,2
293,20200305,광주,14,0,3
294,20200305,대전,16,0,0
295,20200305,울산,23,0,0
296,20200305,세종,1,0,0
297,20200305,경기,110,1,10
298,20200305,강원,23,0,3
299,20200305,충북,12,0,1
300,20200305,충남,86,0,0
301,20200305,전북,7,0,2
302,20200305,전남,4,0,0
303,20200305,경북,861,6,23
304,20200305,경남,74,0,3
305,20200305,제주,4,0,0
306,20200306,서울,105,0,25
307,20200306,부산,95,0,2
308,20200306,대구,4694,31,15
309,20200306,인천,9,0,2
310,20200306,광주,13,0,3
311,20200306,대전,18,0,0
312,20200306,울산,23,0,1
313,20200306,세종,1,0,0
314,20200306,경기,120,1,14
315,20200306,강원,25,0,3
316,20200306,충북,15,0,1
317,20200306,충남,90,0,0
318,20200306,전북,7,0,2
319,20200306,전남,4,0,0
320,20200306,경북,984,10,36
321,20200306,경남,77,0,4
322,20200306,제주,4,0,0
323,20200307,서울,108,0,27
324,20200307,부산,96,0,2
325,20200307,대구,5084,32,18
326,20200307,인천,9,0,2
327,20200307,광주,13,0,3
328,20200307,대전,18,0,0
329,20200307,울산,23,0,1
330,20200307,세종,2,0,0
331,20200307,경기,130,1,14
332,20200307,강원,26,1,3
333,20200307,충북,20,0,1
334,20200307,충남,92,0,0
335,20200307,전북,7,0,2
336,20200307,전남,4,0,0
337,20200307,경북,1049,10,41
338,20200307,경남,82,0,4
339,20200307,제주,4,0,0
340,20200308,서울,120,0,28
341,20200308,부산,97,0,9
342,20200308,대구,5381,36,18
343,20200308,인천,9,0,2
344,20200308,광주,13,0,3
